ProvId,Location,Municipality,Date,Year,Month,Day,Date2,MinSampleDepth,MaxSampleDepth,Chlorophyll,pH,Temperature,P,DissolvedOxygen,ElecticalConductivity,N,Turbidity,LocationEdited
29344,Havgårdssjön,Svedala,8/12/2008,2008,8,12,225,0.5,0.5,64.7,8.39,19,105,,26.2,,,Havgårdssjön
29345,Havgårdssjön,Svedala,10/14/2008,2008,10,14,288,0.5,0.5,23,8.19,12.2,45,,27.5,,,Havgårdssjön
29347,Havgårdssjön,Svedala,4/20/2009,2009,4,20,110,0.5,0.5,30.5,8.76,12.2,39,,29.2,,,Havgårdssjön
29348,Havgårdssjön,Svedala,8/17/2009,2009,8,17,229,0.5,0.5,75.8,8,19.3,122,,25.6,,,Havgårdssjön
29349,Havgårdssjön,Svedala,10/12/2009,2009,10,12,285,0.5,0.5,19.7,8.09,9.8,54,,27.3,,,Havgårdssjön
29352,Havgårdssjön,Svedala,8/26/2010,2010,8,26,238,0.5,0.5,39.2,8.45,18,67,,25.5,,9.5,Havgårdssjön
29353,Havgårdssjön,Svedala,10/21/2010,2010,10,21,294,0.5,0.5,26.3,8,8.2,39,,28.1,,2.6,Havgårdssjön
29355,Havgårdssjön,Svedala,4/20/2011,2011,4,20,110,0.5,0.5,25.7,7.7,11.1,36,,28.4,,3.8,Havgårdssjön
29358,Krankesjön,Lund,8/16/2000,2000,8,16,229,0.5,0.5,14.1,8.26,20.5,59,,32,931,,Krankesjön
29360,Krankesjön,Lund,3/5/2001,2001,3,5,64,0.5,0.5,28.3,8.29,2.7,39,,44.2,1940,,Krankesjön
29361,Krankesjön,Lund,4/24/2001,2001,4,24,114,0.5,0.5,46.3,8.41,7.4,46,,38.4,701,,Krankesjön
29362,Krankesjön,Lund,8/15/2001,2001,8,15,227,0.1,0.1,16.7,7.94,23,33,,32.7,754,,Krankesjön
29363,Krankesjön,Lund,10/17/2001,2001,10,17,290,0.5,0.5,20,8.07,13,29,,36.3,761,,Krankesjön
29364,Krankesjön,Lund,2/27/2002,2002,2,27,58,0.5,0.5,22.8,8.09,2.3,30,,36.7,2084,,Krankesjön
29365,Krankesjön,Lund,4/15/2002,2002,4,15,105,0.5,0.5,51.5,8.3,9.4,41,,37.6,1103,,Krankesjön
29366,Krankesjön,Lund,8/15/2002,2002,8,15,227,0.5,0.5,13,8.11,21.8,32,,29.9,946,,Krankesjön
29367,Krankesjön,Lund,10/22/2002,2002,10,22,295,0.2,0.2,3.7,8.22,4.1,19,,28.7,860,,Krankesjön
29368,Krankesjön,Lund,2/10/2003,2003,2,10,41,0.7,0.7,17.7,8.26,2.1,20,,41.7,1385,,Krankesjön
29369,Krankesjön,Lund,4/8/2003,2003,4,8,98,0.5,0.5,20.1,8.42,4.3,30,,35.3,914,,Krankesjön
29370,Krankesjön,Lund,8/13/2003,2003,8,13,225,0.5,0.5,8.4,7.79,23.9,30,,33.8,1159,,Krankesjön
29371,Krankesjön,Lund,10/15/2003,2003,10,15,288,0.5,0.5,5.8,8.33,7.6,20,,33.8,948,,Krankesjön
29372,Krankesjön,Lund,4/20/2004,2004,4,20,111,1,1,42.3,8.42,13,69,,38,811,,Krankesjön
29373,Krankesjön,Lund,8/17/2004,2004,8,17,230,1,1,10,8.07,21,27,,30.7,753,,Krankesjön
29374,Krankesjön,Lund,10/19/2004,2004,10,19,293,0.5,0.5,13.1,8.06,9,24,,32.8,682,,Krankesjön
29375,Krankesjön,Lund,2/13/2005,2005,2,13,44,1,1,10.9,8.03,1,13,,43.4,1308,,Krankesjön
29376,Krankesjön,Lund,4/14/2005,2005,4,14,104,1,1,62.1,8.67,10.7,55,,34.3,1086,,Krankesjön
29377,Krankesjön,Lund,8/16/2005,2005,8,16,228,0.5,0.5,16.5,8.31,18.3,39,,32.3,851,,Krankesjön
29378,Krankesjön,Lund,10/19/2005,2005,10,19,292,0.5,0.5,9.7,7.63,,29,,35.8,913,,Krankesjön
29382,Krankesjön,Lund,4/11/2006,2006,4,11,101,0.5,0.5,21.7,8.2,6.2,39,,39,1385,,Krankesjön
29383,Krankesjön,Lund,8/17/2006,2006,8,17,229,0.5,0.5,24,8.46,18.9,47,,27.4,712,,Krankesjön
29384,Krankesjön,Lund,10/16/2006,2006,10,16,289,0.5,0.5,9.3,8.14,12.5,23,,33,988,,Krankesjön
29386,Krankesjön,Lund,4/16/2007,2007,4,16,106,0.5,0.5,28.4,8.27,15.6,46,,38.9,,,Krankesjön
29387,Krankesjön,Lund,8/22/2007,2007,8,22,234,0.5,0.5,7.5,8.15,22.4,21,,32.4,,,Krankesjön
29388,Krankesjön,Lund,10/18/2007,2007,10,18,291,0.5,0.5,5.9,8.14,10.6,10,,32.4,,,Krankesjön
29389,Krankesjön,Lund,3/19/2008,2008,3,19,79,0.5,0.5,16,8.28,3.4,40,,41.4,,,Krankesjön
29390,Krankesjön,Lund,4/17/2008,2008,4,17,108,0.5,0.5,34.9,8.43,10.5,52,,39,,,Krankesjön
29391,Krankesjön,Lund,8/12/2008,2008,8,12,225,0.5,0.5,18.2,8.4,18.3,46,,28.3,,,Krankesjön
29392,Krankesjön,Lund,10/14/2008,2008,10,14,288,0.5,0.5,4.8,8.33,13.2,20,,31.2,,,Krankesjön
29394,Krankesjön,Lund,4/20/2009,2009,4,20,110,0.5,0.5,21.1,8.33,13.1,50,,37,,,Krankesjön
29395,Krankesjön,Lund,8/19/2009,2009,8,19,231,0.5,0.5,18.8,8.39,17.7,47,,28.9,,,Krankesjön
29396,Krankesjön,Lund,10/12/2009,2009,10,12,285,0.5,0.5,5.3,8.19,8.5,20,,32.1,,,Krankesjön
29399,Krankesjön,Lund,8/26/2010,2010,8,26,238,0.5,0.5,26,8,15.8,58,,32.7,,2.7,Krankesjön
29400,Krankesjön,Lund,10/19/2010,2010,10,19,292,0.5,0.5,14.2,8.11,7.3,27,,36.9,,2.7,Krankesjön
29402,Krankesjön,Lund,4/20/2011,2011,4,20,110,0.5,0.5,31.3,8.33,12.5,51,,38.4,,6.1,Krankesjön
30987,Bäen,Kristianstad,4/29/1996,1996,4,29,120,1,1,4.6,5.96,10.7,9,,8.81,684,,Bäen
30988,Bäen,Kristianstad,8/20/1996,1996,8,20,233,1,1,2.9,6.41,21.9,9,,8.54,467,,Bäen
30989,Bäen,Kristianstad,10/21/1996,1996,10,21,295,1,1,4.2,6.07,10.2,11,,8.51,648,,Bäen
30990,Bäen,Kristianstad,2/19/1997,1997,2,19,50,1,1,5.1,5.53,2.6,8,,9.18,583,,Bäen
30991,Bäen,Kristianstad,4/16/1997,1997,4,16,106,1,1,6.3,5.89,6.2,7,,8.33,527,,Bäen
30992,Bäen,Kristianstad,8/11/1997,1997,8,11,223,1,1,2.4,6.45,22.3,9,,7.99,396,,Bäen
30993,Bäen,Kristianstad,10/23/1997,1997,10,23,296,1,1,3.7,6.39,8,13,,7.78,477,,Bäen
30994,Bäen,Kristianstad,2/19/1998,1998,2,19,50,1,1,2.2,6.09,4,10,,8.31,721,,Bäen
30995,Bäen,Kristianstad,4/14/1998,1998,4,14,104,1,1,7.5,5.66,6,8,,8.42,1050,,Bäen
30996,Bäen,Kristianstad,8/11/1998,1998,8,11,223,1,1,19.9,6.5,18.8,10,,8.06,714,,Bäen
30997,Bäen,Kristianstad,10/19/1998,1998,10,19,292,1,1,4.4,6.29,8.7,12,,7.86,631,,Bäen
30998,Bäen,Kristianstad,2/18/1999,1999,2,18,49,1,1,2.7,5.71,1.5,9,,7.92,720,,Bäen
30999,Bäen,Kristianstad,4/14/1999,1999,4,14,104,1,1,3.8,5.78,8.6,13,,7.43,776,,Bäen
31000,Bäen,Kristianstad,8/17/1999,1999,8,17,229,1,1,78.8,6.17,18.7,21,,6.99,412,,Bäen
31001,Bäen,Kristianstad,10/18/1999,1999,10,18,291,1,1,8.6,6.18,9.2,14,,7.1,688,,Bäen
38951,Krageholmssjön,Ystad,4/25/1996,1996,4,25,116,0.5,0.5,24.6,8.32,10.5,45,12.86,38.9,1267,,Krageholmssjön
38954,Krageholmssjön,Ystad,5/21/1996,1996,5,21,142,0.5,0.5,24,8.15,9.7,50,10.06,39.9,1098,,Krageholmssjön
38957,Krageholmssjön,Ystad,6/15/1996,1996,6,15,167,0.5,0.5,17.8,8.45,17.1,47,9.42,39.6,1172,,Krageholmssjön
38960,Krageholmssjön,Ystad,7/9/1996,1996,7,9,191,0.5,0.5,27,8.37,16.9,60,9.9,38.2,1129,,Krageholmssjön
38963,Krageholmssjön,Ystad,8/20/1996,1996,8,20,233,0.5,0.5,95.5,8.5,20.5,62,13.9,35.9,2134,,Krageholmssjön
38966,Krageholmssjön,Ystad,9/10/1996,1996,9,10,254,0.5,0.5,81.1,8.34,15.8,116,8.78,35.8,1565,,Krageholmssjön
38969,Krageholmssjön,Ystad,10/17/1996,1996,10,17,291,0.5,0.5,37.5,7.98,11,46,8.22,38,1386,,Krageholmssjön
38972,Krageholmssjön,Ystad,3/4/1997,1997,3,4,63,0.5,0.5,19.2,7.93,3.6,40,12.01,42.1,1797,,Krageholmssjön
38975,Krageholmssjön,Ystad,4/23/1997,1997,4,23,113,0.5,0.5,15.5,8.19,5.5,35,,41.7,943,,Krageholmssjön
38976,Krageholmssjön,Ystad,8/12/1997,1997,8,12,224,0.5,0.5,32.4,8.88,24.5,40,,34.4,816,,Krageholmssjön
38977,Krageholmssjön,Ystad,10/28/1997,1997,10,28,301,0.2,0.2,30.1,8.65,6.4,68,,33.3,1099,,Krageholmssjön
38978,Krageholmssjön,Ystad,2/26/1998,1998,2,26,57,0.5,0.5,31.1,8.19,6.5,51,,38.7,2651,,Krageholmssjön
38979,Krageholmssjön,Ystad,4/23/1998,1998,4,23,113,1,1,15.1,8.51,7.8,38,,38.6,2697,,Krageholmssjön
38980,Krageholmssjön,Ystad,8/19/1998,1998,8,19,231,0.2,0.2,24.8,8.41,18,70,,32.9,1135,,Krageholmssjön
39097,Havgårdssjön,Svedala,4/25/1996,1996,4,25,116,0.5,0.5,34.3,8.81,12.8,43,,27.8,1266,,Havgårdssjön
39098,Havgårdssjön,Svedala,8/20/1996,1996,8,20,233,0.5,0.5,42.7,8.14,21.2,71,,30.3,1247,,Havgårdssjön
39099,Havgårdssjön,Svedala,10/17/1996,1996,10,17,291,0.5,0.5,4.9,8.06,10.9,27,,32.5,1568,,Havgårdssjön
39100,Havgårdssjön,Svedala,3/4/1997,1997,3,4,63,0.5,0.5,15.1,7.99,4.2,32,11.6,34.8,1466,,Havgårdssjön
39101,Havgårdssjön,Svedala,4/23/1997,1997,4,23,113,0.5,0.5,18.1,8.31,5.5,45,,33.8,1355,,Havgårdssjön
39102,Havgårdssjön,Svedala,8/12/1997,1997,8,12,224,0.5,0.5,58,8.55,24.3,83,,26,1633,,Havgårdssjön
39103,Havgårdssjön,Svedala,10/28/1997,1997,10,28,301,0.2,0.2,23.8,8.07,4.8,46,,28.2,1082,,Havgårdssjön
39104,Havgårdssjön,Svedala,2/26/1998,1998,2,26,57,0.5,0.5,28.2,8.09,7,35,,31.9,1811,,Havgårdssjön
39105,Havgårdssjön,Svedala,4/23/1998,1998,4,23,113,1,1,13.9,8.26,9.5,42,,31.9,1713,,Havgårdssjön
39106,Havgårdssjön,Svedala,8/19/1998,1998,8,19,231,0.2,0.2,41.1,8.15,18,16,,32.5,1143,,Havgårdssjön
39114,Krankesjön,Lund,4/25/1996,1996,4,25,116,0.5,0.5,38.8,8.31,14.5,41,,39.9,1082,,Krankesjön
39115,Krankesjön,Lund,8/20/1996,1996,8,20,233,0.5,0.5,9.7,8.04,22.6,28,,33.8,1254,,Krankesjön
39116,Krankesjön,Lund,10/16/1996,1996,10,16,290,0.5,0.5,8.7,8.07,11.3,21,,39.2,1469,,Krankesjön
39117,Krankesjön,Lund,3/5/1997,1997,3,5,64,0.5,0.5,28.3,8.13,4.4,31,12.5,44,1895,,Krankesjön
39118,Krankesjön,Lund,4/24/1997,1997,4,24,114,0.5,0.5,18.3,8.22,5,31,,40,1114,,Krankesjön
39119,Krankesjön,Lund,8/13/1997,1997,8,13,225,0.5,0.5,13.8,8.32,24.5,44,,33.4,805,,Krankesjön
39120,Krankesjön,Lund,11/4/1997,1997,11,4,308,0.2,0.2,10.2,8.01,4,24,,40.9,1262,,Krankesjön
39121,Krankesjön,Lund,2/25/1998,1998,2,25,56,0.5,0.5,21.9,8.13,7.5,14,,43.3,3021,,Krankesjön
39122,Krankesjön,Lund,4/21/1998,1998,4,21,111,1,1,27,8.52,10,36,,38.6,1838,,Krankesjön
39123,Krankesjön,Lund,8/20/1998,1998,8,20,232,0.2,0.2,13.7,7.7,17,32,,33.5,1508,,Krankesjön
151671,Skäravattnet,Osby,4/29/1996,1996,4,29,120,1,1,7.6,6.57,10.9,22,,8.99,803,,Skäravattnet
151672,Skäravattnet,Osby,8/20/1996,1996,8,20,233,1,1,2.8,6.84,21.8,10,,8.87,555,,Skäravattnet
151673,Skäravattnet,Osby,10/22/1996,1996,10,22,296,1,1,8.3,6.48,9.9,13,,9.01,733,,Skäravattnet
151675,Skäravattnet,Osby,4/16/1997,1997,4,16,106,1,1,6.1,6.45,6.1,5,,8.34,495,,Skäravattnet
151676,Skäravattnet,Osby,8/11/1997,1997,8,11,223,1,1,1.6,6.89,24.5,7,,8.15,474,,Skäravattnet
151679,Skäravattnet,Osby,4/14/1998,1998,4,14,104,1,1,13.9,6.6,5.5,12,,7.97,608,,Skäravattnet
151680,Skäravattnet,Osby,8/17/1998,1998,8,17,229,1,1,7.1,6.44,18,13,,8.08,596,,Skäravattnet
151683,Skäravattnet,Osby,4/14/1999,1999,4,14,104,1,1,8.1,6.29,8.4,17,,7.53,647,,Skäravattnet
