Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,Ecotype,elev,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_and_growth_condition,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25384237,AMPLICON,476,233669828,PRJNA985135,SAMN35789730,"MIMS.me,MIGS/MIMS/MIMARKS.soil",78904466,UNIVERSITY OF VIGO,2018-06-29,public,missing,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",20cm,missing,82,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122761,Finland,Europe,Finland,Illumina MiSeq,missing,missing,61.53067 N 29.56599 E,Lucas0363,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_363,SRP450765
SRR25384238,AMPLICON,476,96663224,PRJNA985135,SAMN35789729,"MIMS.me,MIGS/MIMS/MIMARKS.soil",33031678,UNIVERSITY OF VIGO,2018-07-04,public,missing,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",20cm,missing,527,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122760,Spain,Europe,Spain,Illumina MiSeq,missing,missing,42.72179 N 2.88748 W,Lucas0362,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_362,SRP450765
SRR25384239,AMPLICON,476,111908076,PRJNA985135,SAMN35789584,"MIMS.me,MIGS/MIMS/MIMARKS.soil",38413574,UNIVERSITY OF VIGO,2018-06-07,public,missing,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",20cm,missing,1673,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX21122759,Italy,Europe,Italy,Illumina MiSeq,missing,missing,45.75092 N 7.75362 E,Lucas0217,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_217,SRP450765
SRR25384240,AMPLICON,476,221421872,PRJNA985135,SAMN35789583,"MIMS.me,MIGS/MIMS/MIMARKS.soil",75718665,UNIVERSITY OF VIGO,2018-06-18,public,missing,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",20cm,missing,160,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122758,France,Europe,France,Illumina MiSeq,missing,missing,46.92934 N 1.88688 E,Lucas0216,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:29:00Z,1,LUCAS_216,SRP450765
SRR25384241,AMPLICON,476,325235568,PRJNA985135,SAMN35789582,"MIMS.me,MIGS/MIMS/MIMARKS.soil",113625405,UNIVERSITY OF VIGO,2018-06-25,public,missing,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",20cm,missing,133,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122757,France,Europe,France,Illumina MiSeq,missing,missing,43.53921 N 3.33838 E,Lucas0215,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_215,SRP450765
SRR25384242,AMPLICON,476,194148976,PRJNA985135,SAMN35789581,"MIMS.me,MIGS/MIMS/MIMARKS.soil",69031737,UNIVERSITY OF VIGO,2018-06-06,public,missing,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",20cm,missing,56,ENVO:01000197,ENVO:01000197,ENVO:00001998,SRX21122756,Portugal,Europe,Portugal,Illumina MiSeq,missing,missing,37.07357 N 7.78952 W,Lucas0214,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_214,SRP450765
SRR25384243,AMPLICON,476,143106544,PRJNA985135,SAMN35789580,"MIMS.me,MIGS/MIMS/MIMARKS.soil",49269762,UNIVERSITY OF VIGO,2018-06-06,public,missing,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",20cm,missing,425,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX21122755,Poland,Europe,Poland,Illumina MiSeq,missing,missing,50.2022 N 19.51238 E,Lucas0213,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_213,SRP450765
SRR25384244,AMPLICON,476,182137592,PRJNA985135,SAMN35789579,"MIMS.me,MIGS/MIMS/MIMARKS.soil",62138799,UNIVERSITY OF VIGO,2018-06-11,public,missing,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",20cm,missing,156,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122754,France,Europe,France,Illumina MiSeq,missing,missing,47.10523 N 1.35562 E,Lucas0212,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_212,SRP450765
SRR25384245,AMPLICON,476,134646596,PRJNA985135,SAMN35789578,"MIMS.me,MIGS/MIMS/MIMARKS.soil",46097299,UNIVERSITY OF VIGO,2018-06-11,public,missing,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",20cm,missing,825,ENVO:01000215,ENVO:01000215,ENVO:00001998,SRX21122753,France,Europe,France,Illumina MiSeq,missing,missing,43.96035 N 3.41446 E,Lucas0211,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_211,SRP450765
SRR25384246,AMPLICON,476,155804796,PRJNA985135,SAMN35789389,"MIMS.me,MIGS/MIMS/MIMARKS.soil",54048121,UNIVERSITY OF VIGO,2018-05-29,public,missing,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",20cm,missing,142,ENVO:01000196,ENVO:01000196,ENVO:00001998,SRX21122752,Poland,Europe,Poland,Illumina MiSeq,missing,missing,53.24837 N 19.9073 E,Lucas0022,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:29:00Z,1,LUCAS_22,SRP450765
SRR25384247,AMPLICON,476,206266984,PRJNA985135,SAMN35789577,"MIMS.me,MIGS/MIMS/MIMARKS.soil",69921098,UNIVERSITY OF VIGO,2018-06-07,public,missing,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",20cm,missing,22,ENVO:01000196,ENVO:01000196,ENVO:00001998,SRX21122751,Sweden,Europe,Sweden,Illumina MiSeq,missing,missing,60.03984 N 18.38026 E,Lucas0210,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_210,SRP450765
SRR25384248,AMPLICON,476,76602680,PRJNA985135,SAMN35789576,"MIMS.me,MIGS/MIMS/MIMARKS.soil",31759033,UNIVERSITY OF VIGO,2018-06-12,public,missing,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",20cm,missing,56,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX21122750,United Kingdom,Europe,United Kingdom,Illumina MiSeq,missing,missing,51.087 N 0.67982 E,Lucas0209,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_209,SRP450765
SRR25384249,AMPLICON,476,156187976,PRJNA985135,SAMN35789575,"MIMS.me,MIGS/MIMS/MIMARKS.soil",54502124,UNIVERSITY OF VIGO,2018-06-06,public,missing,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",20cm,missing,113,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122749,Latvia,Europe,Latvia,Illumina MiSeq,missing,missing,56.94324 N 27.51942 E,Lucas0208,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_208,SRP450765
SRR25384250,AMPLICON,476,295202348,PRJNA985135,SAMN35789574,"MIMS.me,MIGS/MIMS/MIMARKS.soil",101577911,UNIVERSITY OF VIGO,2018-06-05,public,missing,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",20cm,missing,13,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122748,Finland,Europe,Finland,Illumina MiSeq,missing,missing,63.85059 N 23.33622 E,Lucas0207,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:29:00Z,1,LUCAS_207,SRP450765
SRR25384251,AMPLICON,476,207044768,PRJNA985135,SAMN35789573,"MIMS.me,MIGS/MIMS/MIMARKS.soil",71054716,UNIVERSITY OF VIGO,2018-06-05,public,missing,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",20cm,missing,33,ENVO:01000196,ENVO:01000196,ENVO:00001998,SRX21122747,Finland,Europe,Finland,Illumina MiSeq,missing,missing,63.45338 N 22.82726 E,Lucas0206,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:29:00Z,1,LUCAS_206,SRP450765
SRR25384252,AMPLICON,476,252538944,PRJNA985135,SAMN35789572,"MIMS.me,MIGS/MIMS/MIMARKS.soil",86959325,UNIVERSITY OF VIGO,2018-06-06,public,missing,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",20cm,missing,117,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122746,Latvia,Europe,Latvia,Illumina MiSeq,missing,missing,57.03159 N 26.57462 E,Lucas0205,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:29:00Z,1,LUCAS_205,SRP450765
SRR25384253,AMPLICON,476,319864860,PRJNA985135,SAMN35789571,"MIMS.me,MIGS/MIMS/MIMARKS.soil",107634165,UNIVERSITY OF VIGO,2018-06-04,public,missing,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",20cm,missing,318,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122745,Austria,Europe,Austria,Illumina MiSeq,missing,missing,48.10739 N 14.2035 E,Lucas0204,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_204,SRP450765
SRR25384254,AMPLICON,476,87390268,PRJNA985135,SAMN35789570,"MIMS.me,MIGS/MIMS/MIMARKS.soil",30270222,UNIVERSITY OF VIGO,2018-06-05,public,missing,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",20cm,missing,45,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122744,Poland,Europe,Poland,Illumina MiSeq,missing,missing,52.91972 N 16.17825 E,Lucas0203,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_203,SRP450765
SRR25384255,AMPLICON,476,58164344,PRJNA985135,SAMN35789569,"MIMS.me,MIGS/MIMS/MIMARKS.soil",19949633,UNIVERSITY OF VIGO,2018-06-05,public,missing,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",20cm,missing,1212,ENVO:01000197,ENVO:01000197,ENVO:00001998,SRX21122743,France,Europe,France,Illumina MiSeq,missing,missing,45.55821 N 6.60955 E,Lucas0202,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_202,SRP450765
SRR25384256,AMPLICON,476,106211784,PRJNA985135,SAMN35789568,"MIMS.me,MIGS/MIMS/MIMARKS.soil",36541197,UNIVERSITY OF VIGO,2018-06-12,public,missing,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",20cm,missing,161,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122742,France,Europe,France,Illumina MiSeq,missing,missing,44.04395 N 4.20469 E,Lucas0201,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_201,SRP450765
SRR25384257,AMPLICON,476,265992132,PRJNA985135,SAMN35789388,"MIMS.me,MIGS/MIMS/MIMARKS.soil",111372343,UNIVERSITY OF VIGO,2018-06-04,public,missing,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",20cm,missing,27,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122741,Denmark,Europe,Denmark,Illumina MiSeq,missing,missing,55.34173 N 9.44864 E,Lucas0021,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:29:00Z,1,LUCAS_21,SRP450765
SRR25384258,AMPLICON,476,232472212,PRJNA985135,SAMN35789370,"MIMS.me,MIGS/MIMS/MIMARKS.soil",81684761,UNIVERSITY OF VIGO,2018-06-04,public,missing,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",20cm,missing,451,ENVO:01000182,ENVO:01000182,ENVO:00001998,SRX21122740,Spain,Europe,Spain,Illumina MiSeq,missing,missing,42.11604 N 0.92369 W,Lucas0003,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_3,SRP450765
SRR25384259,AMPLICON,476,149613940,PRJNA985135,SAMN35789567,"MIMS.me,MIGS/MIMS/MIMARKS.soil",52395771,UNIVERSITY OF VIGO,2018-06-05,public,missing,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",20cm,missing,84,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX21122739,Germany,Europe,Germany,Illumina MiSeq,missing,missing,52.15995 N 10.65759 E,Lucas0200,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_200,SRP450765
SRR25384260,AMPLICON,476,168484008,PRJNA985135,SAMN35789566,"MIMS.me,MIGS/MIMS/MIMARKS.soil",63058097,UNIVERSITY OF VIGO,2018-05-28,public,missing,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",20cm,missing,801,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX21122738,Spain,Europe,Spain,Illumina MiSeq,missing,missing,41.27334 N 1.76055 W,Lucas0199,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:29:00Z,1,LUCAS_199,SRP450765
SRR25384261,AMPLICON,476,186050312,PRJNA985135,SAMN35789565,"MIMS.me,MIGS/MIMS/MIMARKS.soil",66791520,UNIVERSITY OF VIGO,2018-06-05,public,missing,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",20cm,missing,814,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122737,Spain,Europe,Spain,Illumina MiSeq,missing,missing,42.28904 N 4.19673 W,Lucas0198,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_198,SRP450765
SRR25384262,AMPLICON,476,117473944,PRJNA985135,SAMN35789564,"MIMS.me,MIGS/MIMS/MIMARKS.soil",40870950,UNIVERSITY OF VIGO,2018-06-12,public,missing,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",20cm,missing,730,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX21122736,Croatia,Europe,Croatia,Illumina MiSeq,missing,missing,44.57765 N 15.62305 E,Lucas0197,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_197,SRP450765
SRR25384263,AMPLICON,476,100918188,PRJNA985135,SAMN35789563,"MIMS.me,MIGS/MIMS/MIMARKS.soil",34173824,UNIVERSITY OF VIGO,2018-06-25,public,missing,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",20cm,missing,382,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX21122735,United Kingdom,Europe,United Kingdom,Illumina MiSeq,missing,missing,51.96185 N 3.69582 W,Lucas0196,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_196,SRP450765
SRR25384264,AMPLICON,476,119162792,PRJNA985135,SAMN35789562,"MIMS.me,MIGS/MIMS/MIMARKS.soil",41091158,UNIVERSITY OF VIGO,2018-06-15,public,missing,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",20cm,missing,90,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX21122734,Lithuania,Europe,Lithuania,Illumina MiSeq,missing,missing,54.15638 N 24.13786 E,Lucas0195,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_195,SRP450765
SRR25384265,AMPLICON,476,106178464,PRJNA985135,SAMN35789561,"MIMS.me,MIGS/MIMS/MIMARKS.soil",36421148,UNIVERSITY OF VIGO,2018-06-25,public,missing,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",20cm,missing,86,ENVO:01000198,ENVO:01000198,ENVO:00001998,SRX21122733,Finland,Europe,Finland,Illumina MiSeq,missing,missing,60.85227 N 25.08019 E,Lucas0194,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_194,SRP450765
SRR25384266,AMPLICON,476,127999256,PRJNA985135,SAMN35789560,"MIMS.me,MIGS/MIMS/MIMARKS.soil",43660739,UNIVERSITY OF VIGO,2018-06-14,public,missing,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",20cm,missing,110,ENVO:01000196,ENVO:01000196,ENVO:00001998,SRX21122732,Finland,Europe,Finland,Illumina MiSeq,missing,missing,62.73292 N 26.95459 E,Lucas0193,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_193,SRP450765
SRR25384267,AMPLICON,476,222860344,PRJNA985135,SAMN35789559,"MIMS.me,MIGS/MIMS/MIMARKS.soil",76040743,UNIVERSITY OF VIGO,2018-05-25,public,missing,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",20cm,missing,77,ENVO:01000197,ENVO:01000197,ENVO:00001998,SRX21122731,Latvia,Europe,Latvia,Illumina MiSeq,missing,missing,56.54954 N 22.20342 E,Lucas0192,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_192,SRP450765
SRR25384268,AMPLICON,476,297833676,PRJNA985135,SAMN35789558,"MIMS.me,MIGS/MIMS/MIMARKS.soil",102122051,UNIVERSITY OF VIGO,2018-06-05,public,missing,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",20cm,missing,78,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122730,Poland,Europe,Poland,Illumina MiSeq,missing,missing,52.92483 N 14.89596 E,Lucas0191,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:29:00Z,1,LUCAS_191,SRP450765
SRR25384269,AMPLICON,476,222915560,PRJNA985135,SAMN35789387,"MIMS.me,MIGS/MIMS/MIMARKS.soil",77075458,UNIVERSITY OF VIGO,2018-05-30,public,missing,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",20cm,missing,143,ENVO:01000197,ENVO:01000197,ENVO:00001998,SRX21122729,Poland,Europe,Poland,Illumina MiSeq,missing,missing,53.95919 N 20.50707 E,Lucas0020,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_20,SRP450765
