Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,elev,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR24061663,AMPLICON,487,8377491,PRJNA952168,SAMN34067037,"MIMS.me,MIGS/MIMS/MIMARKS.soil",3321905,UNIVERSITY OF ZURICH,2018-07-04,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",20cm,527,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863300,Spain,Europe,Spain,Illumina MiSeq,42.72179 N 2.88748 W,362_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_362,SRP430822
SRR24061664,AMPLICON,487,143879861,PRJNA952168,SAMN34067036,"MIMS.me,MIGS/MIMS/MIMARKS.soil",55348822,UNIVERSITY OF ZURICH,2018-07-09,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",20cm,142,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863299,Italy,Europe,Italy,Illumina MiSeq,42.36783 N 11.7546 E,361_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_361,SRP430822
SRR24061665,AMPLICON,487,8820598,PRJNA952168,SAMN34067036,"MIMS.me,MIGS/MIMS/MIMARKS.soil",3502832,UNIVERSITY OF ZURICH,2018-07-09,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",20cm,142,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863298,Italy,Europe,Italy,Illumina MiSeq,42.36783 N 11.7546 E,361_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_361,SRP430822
SRR24061666,AMPLICON,487,123464454,PRJNA952168,SAMN34067035,"MIMS.me,MIGS/MIMS/MIMARKS.soil",46972513,UNIVERSITY OF ZURICH,2018-06-20,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",20cm,1665,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX19863297,France,Europe,France,Illumina MiSeq,42.73694 N 0.02858 W,360_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_360,SRP430822
SRR24061667,AMPLICON,487,7385878,PRJNA952168,SAMN34067035,"MIMS.me,MIGS/MIMS/MIMARKS.soil",2907704,UNIVERSITY OF ZURICH,2018-06-20,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",20cm,1665,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX19863296,France,Europe,France,Illumina MiSeq,42.73694 N 0.02858 W,360_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_360,SRP430822
SRR24061668,AMPLICON,487,52259894,PRJNA952168,SAMN34067034,"MIMS.me,MIGS/MIMS/MIMARKS.soil",20095353,UNIVERSITY OF ZURICH,2018-06-26,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",20cm,110,ENVO:01000198,ENVO:01000198,ENVO:00001998,SRX19863295,Finland,Europe,Finland,Illumina MiSeq,61.40095 N 25.11335 E,359_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_359,SRP430822
SRR24061669,AMPLICON,487,8006611,PRJNA952168,SAMN34066705,"MIMS.me,MIGS/MIMS/MIMARKS.soil",3465926,UNIVERSITY OF ZURICH,2018-06-04,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",20cm,8,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863294,Denmark,Europe,Denmark,Illumina MiSeq,55.81217 N 12.02472 E,30_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_30,SRP430822
SRR24061670,AMPLICON,487,3088551,PRJNA952168,SAMN34067034,"MIMS.me,MIGS/MIMS/MIMARKS.soil",1281458,UNIVERSITY OF ZURICH,2018-06-26,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",20cm,110,ENVO:01000198,ENVO:01000198,ENVO:00001998,SRX19863293,Finland,Europe,Finland,Illumina MiSeq,61.40095 N 25.11335 E,359_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_359,SRP430822
SRR24061671,AMPLICON,487,100058009,PRJNA952168,SAMN34067033,"MIMS.me,MIGS/MIMS/MIMARKS.soil",38600135,UNIVERSITY OF ZURICH,2018-06-19,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",20cm,174,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863292,France,Europe,France,Illumina MiSeq,43.32877 N 2.64567 E,358_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_358,SRP430822
SRR24061672,AMPLICON,488,5979464,PRJNA952168,SAMN34067033,"MIMS.me,MIGS/MIMS/MIMARKS.soil",2398213,UNIVERSITY OF ZURICH,2018-06-19,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",20cm,174,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863291,France,Europe,France,Illumina MiSeq,43.32877 N 2.64567 E,358_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_358,SRP430822
SRR24061673,AMPLICON,487,47634500,PRJNA952168,SAMN34067032,"MIMS.me,MIGS/MIMS/MIMARKS.soil",18746537,UNIVERSITY OF ZURICH,2018-06-26,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",20cm,78,ENVO:01000196,ENVO:01000196,ENVO:00001998,SRX19863290,France,Europe,France,Illumina MiSeq,43.97263 N 0.74711 W,357_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_357,SRP430822
SRR24061674,AMPLICON,487,3008030,PRJNA952168,SAMN34067032,"MIMS.me,MIGS/MIMS/MIMARKS.soil",1285520,UNIVERSITY OF ZURICH,2018-06-26,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",20cm,78,ENVO:01000196,ENVO:01000196,ENVO:00001998,SRX19863289,France,Europe,France,Illumina MiSeq,43.97263 N 0.74711 W,357_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_357,SRP430822
SRR24061675,AMPLICON,487,99104867,PRJNA952168,SAMN34067031,"MIMS.me,MIGS/MIMS/MIMARKS.soil",38438228,UNIVERSITY OF ZURICH,2018-06-18,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",20cm,41,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX19863288,Ireland,Europe,Ireland,Illumina MiSeq,52.28728 N 7.92681 W,356_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_356,SRP430822
SRR24061676,AMPLICON,487,6275188,PRJNA952168,SAMN34067031,"MIMS.me,MIGS/MIMS/MIMARKS.soil",2565756,UNIVERSITY OF ZURICH,2018-06-18,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",20cm,41,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX19863287,Ireland,Europe,Ireland,Illumina MiSeq,52.28728 N 7.92681 W,356_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_356,SRP430822
SRR24061677,AMPLICON,487,58334973,PRJNA952168,SAMN34067030,"MIMS.me,MIGS/MIMS/MIMARKS.soil",22503821,UNIVERSITY OF ZURICH,2018-06-20,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",20cm,184,ENVO:01000197,ENVO:01000197,ENVO:00001998,SRX19863286,United Kingdom,Europe,United Kingdom,Illumina MiSeq,55.31531 N 3.74581 W,355_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_355,SRP430822
SRR24061678,AMPLICON,487,3453087,PRJNA952168,SAMN34067030,"MIMS.me,MIGS/MIMS/MIMARKS.soil",1429751,UNIVERSITY OF ZURICH,2018-06-20,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",20cm,184,ENVO:01000197,ENVO:01000197,ENVO:00001998,SRX19863285,United Kingdom,Europe,United Kingdom,Illumina MiSeq,55.31531 N 3.74581 W,355_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_355,SRP430822
SRR24061679,AMPLICON,487,94227379,PRJNA952168,SAMN34067029,"MIMS.me,MIGS/MIMS/MIMARKS.soil",37222524,UNIVERSITY OF ZURICH,2018-06-26,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",20cm,1094,ENVO:01000198,ENVO:01000198,ENVO:00001998,SRX19863284,France,Europe,France,Illumina MiSeq,46.19528 N 5.76607 E,354_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_354,SRP430822
SRR24061680,AMPLICON,487,141470645,PRJNA952168,SAMN34066704,"MIMS.me,MIGS/MIMS/MIMARKS.soil",58728323,UNIVERSITY OF ZURICH,2018-05-31,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",20cm,130,ENVO:01000198,ENVO:01000198,ENVO:00001998,SRX19863283,Finland,Europe,Finland,Illumina MiSeq,64.44953 N 27.88137 E,29_HJVG7DRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_29,SRP430822
SRR24061681,AMPLICON,487,5749123,PRJNA952168,SAMN34067029,"MIMS.me,MIGS/MIMS/MIMARKS.soil",2402718,UNIVERSITY OF ZURICH,2018-06-26,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",20cm,1094,ENVO:01000198,ENVO:01000198,ENVO:00001998,SRX19863282,France,Europe,France,Illumina MiSeq,46.19528 N 5.76607 E,354_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_354,SRP430822
SRR24061682,AMPLICON,487,78395679,PRJNA952168,SAMN34067028,"MIMS.me,MIGS/MIMS/MIMARKS.soil",30703585,UNIVERSITY OF ZURICH,2018-06-18,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",20cm,243,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX19863281,United Kingdom,Europe,United Kingdom,Illumina MiSeq,50.71509 N 4.04536 W,353_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_353,SRP430822
SRR24061683,AMPLICON,487,4817047,PRJNA952168,SAMN34067028,"MIMS.me,MIGS/MIMS/MIMARKS.soil",2007808,UNIVERSITY OF ZURICH,2018-06-18,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",20cm,243,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX19863280,United Kingdom,Europe,United Kingdom,Illumina MiSeq,50.71509 N 4.04536 W,353_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_353,SRP430822
SRR24061684,AMPLICON,487,104920321,PRJNA952168,SAMN34067027,"MIMS.me,MIGS/MIMS/MIMARKS.soil",42868834,UNIVERSITY OF ZURICH,2018-06-28,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",20cm,82,ENVO:01000197,ENVO:01000197,ENVO:00001998,SRX19863279,Finland,Europe,Finland,Illumina MiSeq,61.33663 N 26.69409 E,352_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_352,SRP430822
SRR24061685,AMPLICON,487,95191652,PRJNA952168,SAMN34066979,"MIMS.me,MIGS/MIMS/MIMARKS.soil",39662901,UNIVERSITY OF ZURICH,2018-06-18,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",20cm,155,ENVO:01000198,ENVO:01000198,ENVO:00001998,SRX19863278,Spain,Europe,Spain,Illumina MiSeq,43.69981 N 7.79942 W,304_HJV2KDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_304,SRP430822
SRR24061686,AMPLICON,487,158363733,PRJNA952168,SAMN34066978,"MIMS.me,MIGS/MIMS/MIMARKS.soil",63865099,UNIVERSITY OF ZURICH,2018-07-03,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",20cm,36,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863277,Germany,Europe,Germany,Illumina MiSeq,52.5288 N 8.42325 E,303_HJV2KDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_303,SRP430822
SRR24061687,AMPLICON,487,61187357,PRJNA952168,SAMN34066977,"MIMS.me,MIGS/MIMS/MIMARKS.soil",23049941,UNIVERSITY OF ZURICH,2018-07-02,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",20cm,891,ENVO:01000196,ENVO:01000196,ENVO:00001998,SRX19863276,Austria,Europe,Austria,Illumina MiSeq,48.55431 N 14.29521 E,302_HJV2KDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_302,SRP430822
SRR24061688,AMPLICON,487,129283307,PRJNA952168,SAMN34066976,"MIMS.me,MIGS/MIMS/MIMARKS.soil",52032799,UNIVERSITY OF ZURICH,2018-06-19,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",20cm,1324,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX19863275,Spain,Europe,Spain,Illumina MiSeq,40.6941 N 4.33381 W,301_HJV2KDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_301,SRP430822
SRR24061689,AMPLICON,487,156378073,PRJNA952168,SAMN34066975,"MIMS.me,MIGS/MIMS/MIMARKS.soil",63774485,UNIVERSITY OF ZURICH,2018-06-26,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",20cm,753,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863274,Spain,Europe,Spain,Illumina MiSeq,42.05045 N 5.66632 W,300_HJV2KDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_300,SRP430822
SRR24061690,AMPLICON,487,149651007,PRJNA952168,SAMN34066974,"MIMS.me,MIGS/MIMS/MIMARKS.soil",60531300,UNIVERSITY OF ZURICH,2018-06-29,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",20cm,182,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863273,Poland,Europe,Poland,Illumina MiSeq,51.0479 N 17.9035 E,299_HJV2KDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_299,SRP430822
SRR24061691,AMPLICON,487,76225488,PRJNA952168,SAMN34066973,"MIMS.me,MIGS/MIMS/MIMARKS.soil",31655049,UNIVERSITY OF ZURICH,2018-06-25,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",20cm,89,ENVO:01000198,ENVO:01000198,ENVO:00001998,SRX19863272,Finland,Europe,Finland,Illumina MiSeq,60.87505 N 25.88403 E,298_HJV2KDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_298,SRP430822
SRR24061692,AMPLICON,487,178470300,PRJNA952168,SAMN34066972,"MIMS.me,MIGS/MIMS/MIMARKS.soil",72553776,UNIVERSITY OF ZURICH,2018-06-13,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",20cm,124,ENVO:01000198,ENVO:01000198,ENVO:00001998,SRX19863271,Lithuania,Europe,Lithuania,Illumina MiSeq,56.00398 N 25.53424 E,297_HJV2KDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_297,SRP430822
SRR24061693,AMPLICON,487,70137730,PRJNA952168,SAMN34066971,"MIGS/MIMS/MIMARKS.soil,MIMS.me",28671922,UNIVERSITY OF ZURICH,2018-06-21,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",20cm,40,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863270,Finland,Europe,Finland,Illumina MiSeq,60.61784 N 22.17907 E,296_HJV2KDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_296,SRP430822
SRR24061694,AMPLICON,487,153820932,PRJNA952168,SAMN34066970,"MIMS.me,MIGS/MIMS/MIMARKS.soil",63180613,UNIVERSITY OF ZURICH,2018-07-02,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",20cm,249,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX19863269,Italy,Europe,Italy,Illumina MiSeq,46.1882 N 12.80833 E,295_HJV2KDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_295,SRP430822
SRR24061695,AMPLICON,487,179667846,PRJNA952168,SAMN34066700,"MIMS.me,MIGS/MIMS/MIMARKS.soil",73214039,UNIVERSITY OF ZURICH,2018-05-31,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",20cm,33,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX19863268,Germany,Europe,Germany,Illumina MiSeq,52.81131 N 12.8333 E,25_HJVG7DRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_25,SRP430822
SRR24061696,AMPLICON,487,102358420,PRJNA952168,SAMN34066969,"MIMS.me,MIGS/MIMS/MIMARKS.soil",42527097,UNIVERSITY OF ZURICH,2018-06-13,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",20cm,83,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863267,Latvia,Europe,Latvia,Illumina MiSeq,56.46809 N 25.79158 E,294_HJV2KDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_294,SRP430822
